dataset_source;document_index;topic;quality (1-10);correctly_cleaned;private;harmful;num_characters;num_sentences
C4;https://www.j12.com/store/i-must-t-shirt;Sale of T-shirt with christian motive;5;1;0;0;602;9
C4;http://www.hannahsblinds.co.uk/wpautoterms/terms-and-conditions/;terms and conditions;6;1;0;0;727;4
C4;https://www.richboroughestates.co.uk/news/local-residents-prioritised-in-eccleshall-development/30.asp;Local residents prioritised in Eccleshall development;9;1;0;0;2722;16
C4;https://www.lakedistrict.gov.uk/caringfor/volunteering/what-volunteers-do;volunteering;9;1;0;0;2016;22
C4;http://starwarsplaces.com/han-solo-a-star-wars-story-working-title/savareen-solo/;Star Wars filming place place;7;1;0;0;693;8
C4;http://pfcmarkets.com/blog/2017/10/5/wmu-farmers-market-on-campus;market on university;9;1;Site is private and has information about student (with first name);0;2541;19
C4;http://www.greymattersdocumentary.com/;documentary about grey matter;8;1;0;0;2152;21
C4;https://www.javatpoint.com/struts-2-ServletActionContext-class;java class;7;1;0;0;594;7
C4;http://www.holyokehome.com/2011/03/updated-blog-roll.html;blog roll;4;0;0;0;730;18
C4;https://www.hillcitybride.com/2018/09/waynesboro-wedding-blue/;pictures of wedding;4;0;0;0;3579;62
C4;https://nstperfume.com/2009/01/05/lacoste-love-of-pink-avon-jet-new-fragrances/;fragrances;6;1;0;0;892;10
C4;https://xotictech.com/products/xotic-tech-1-set-sport-red-turbo-badge-car-trunk-lid-side-fenders-body-emblem-nameplate-stickers-univeral-fit;Sale of model car;5;1;0;0;260;3
C4;https://israelrealestatehomesandinvestments.com/hot-properties/special-estates/?shared=email&msg=fail;home investment in israel;5;1;0;0;605;4
C4;https://hubblehq.com/office-space/5698/one-heddon-street;office space;5;1;0;0;805;6
C4;https://digital.lib.niu.edu/islandora/object/latino%3A4/web.shtml;immigration and disability;7;1;private information about person with full name;0;42507;791
C4;http://fiftywordstories.com/tag/small-talk/;artistic mini story;5;1; information about author (public);0;465;5
C4;https://schooldesigns.com/Project-Details.aspx?Project_ID=3555;school design;6;0;0;0;1224;7
C4;http://www.lispworks.com/documentation/lw70/CAPI-W/html/capi-w-391.htm;lisp function;7;1;0;0;745;6
C4;https://elementor.com/blog/translate-elementor-with-wpml/;translating wpml;8;1;0;0;6506;83
C4;https://www.onlyinyourstate.com/new-hampshire/getaways-nh-2/;Hampshire Farm Getaways;7;1;0;0;2675;25
C4;https://anitagotravel.com/2011/04/14/actun-tunichil-muknal-the-cave-to-visit-in-belize/;comments on travel blog;3;0;information about prive life;0;2213;50
C4;http://mazdaverzekering.info/home-depot-instant-canopy/home-depot-instant-canopy-canopy-canopy-design-tents-tent-amazing-new-natural-cool-classy-first-up-canopy-design-tents-tent-amazing-new-natural-cool-classy-first-up-x-gazebo-home-depot/;tent sale;0;0;0;0;1484;3
C4;https://www.thefashionisto.com/fashion-guide-for-going-to-the-casino/;fashion guide;9;1;0;0;2625;17
C4;https://www.winsite.com/Multimedia/Image-Viewers/Free-FLV-Player/;flv player sale;1;0;0;0;373;13
C4;http://m.bonide.com/pest.php?id=199;pests: whiteflies;7;1;0;0;1373;16
C4;http://bebopandco.com/simba-coloring-pages/;Simba Coloring Pages;3;1;0;0;860;5
C4;https://www.microwavejournal.com/articles/19627-linear-introduces-iq-sampling-digital-predistortion-receiver;micromodule sale;5;1;0;0;2218;18
C4;https://www.thewisetraveller.com/Articles/?tag=france;travelguide;5;1;0;0;585;4
C4;https://bursaries-southafrica.co.za/coca-cola-bursaries/;south africe coca cola bursaries;5;1;0;0;2540;35
C4;https://www.bulbamerica.com/products/verilux-ivory-easyflex-deluxe-natural-spectrum-floor-lamp;lamp sale;5;1;0;0;1553;14
finepdfs;e9de27dc-4499-45cf-9298-6e8c02668439;student loans;10;1;0;0;161890;2223
finepdfs;<urn:uuid:6c5ffa3e-c258-4778-8b58-9511cb5d0c82>;health care;7;1;0;0;35948;136
finepdfs;<urn:uuid:bdd752cb-88e8-4ba6-ab6e-2c17366b2666>;flyer scramble meeting;3;1;0;0;226;3
